Integer,HighByte,LowByte,String,AltString,StringStarter,StringTerminator,Group,Style
0,00,00,,,,,,
1,00,01,►DMS,,,,,
2,00,02,►Dec,,,,,
3,00,03,►Frac,,,,,
4,00,04,→,,,,,
5,00,05,Boxplot,,,,,
6,00,06,[,,,,,
7,00,07,],,,,,
8,00,08,{,,,,,
9,00,09,},,,,,
10,00,0A,ʳ,,,,,
11,00,0B,°,,,,,
12,00,0C,ˉ¹,,,,,
13,00,0D,²,,,,,
14,00,0E,ᵀ,,,,,
15,00,0F,³,,,,,
16,00,10,(,,,,,
17,00,11,),,,,,
18,00,12,round(,,,,,
19,00,13,pxl-Test(,,,,,
20,00,14,augment(,,,,,
21,00,15,rowSwap(,,,,,
22,00,16,row+(,,,,,
23,00,17,*row(,,,,,
24,00,18,*row+(,,,,,
25,00,19,max(,,,,,
26,00,1A,min(,,,,,
27,00,1B,R►Pr(,,,,,
28,00,1C,R►Pθ(,,,,,
29,00,1D,P►Rx(,,,,,
30,00,1E,P►Ry(,,,,,
31,00,1F,median(,,,,,
32,00,20,randM(,,,,,
33,00,21,mean(,,,,,
34,00,22,solve(,,,,,
35,00,23,seq(,,,,,
36,00,24,fnInt(,,,,,
37,00,25,nDeriv(,,,,,
39,00,27,fMin(,,,,,
40,00,28,fMax(,,,,,
41,00,29, ,,,,,
42,00,2A,"""",,,,,
43,00,2B,",",,,,,
44,00,2C,[i],,,,,
45,00,2D,!,,,,,
46,00,2E,CubicReg ,,,,,
47,00,2F,QuartReg ,,,,,
48,00,30,0,,,,,
49,00,31,1,,,,,
50,00,32,2,,,,,
51,00,33,3,,,,,
52,00,34,4,,,,,
53,00,35,5,,,,,
54,00,36,6,,,,,
55,00,37,7,,,,,
56,00,38,8,,,,,
57,00,39,9,,,,,
58,00,3A,.,,,,,
59,00,3B,ᴇ,,,,,
60,00,3C, or ,,,,,
61,00,3D, xor ,,,,,
62,00,3E,:,,,,,
63,00,3F,:,,,,,
64,00,40, and ,,,,,
65,00,41,A,,,,,
66,00,42,B,,,,,
67,00,43,C,,,,,
68,00,44,D,,,,,
69,00,45,E,,,,,
70,00,46,F,,,,,
71,00,47,G,,,,,
72,00,48,H,,,,,
73,00,49,I,,,,,
74,00,4A,J,,,,,
75,00,4B,K,,,,,
76,00,4C,L,,,,,
77,00,4D,M,,,,,
78,00,4E,N,,,,,
79,00,4F,O,,,,,
80,00,50,P,,,,,
81,00,51,Q,,,,,
82,00,52,R,,,,,
83,00,53,S,,,,,
84,00,54,T,,,,,
85,00,55,U,,,,,
86,00,56,V,,,,,
87,00,57,W,,,,,
88,00,58,X,,,,,
89,00,59,Y,,,,,
90,00,5A,Z,,,,,
91,00,5B,θ,,,,,
95,00,5F,prgm,,,,,
100,00,64,Radian,,,,,
101,00,65,Degree,,,,,
102,00,66,Normal,,,,,
103,00,67,Sci,,,,,
104,00,68,Eng,,,,,
105,00,69,Float,,,,,
106,00,6A,=,,,,,
107,00,6B,<,,,,,
108,00,6C,>,,,,,
109,00,6D,≤,,,,,
110,00,6E,≥,,,,,
111,00,6F,≠,,,,,
112,00,70,+,,,,,
113,00,71,-,,,,,
114,00,72,Ans,,,,,
115,00,73,Fix ,,,,,
116,00,74,Horiz,,,,,
117,00,75,Full,,,,,
118,00,76,Func,,,,,
119,00,77,Param,,,,,
120,00,78,Polar,,,,,
121,00,79,Seq,,,,,
122,00,7A,IndpntAuto,,,,,
123,00,7B,IndpntAsk,,,,,
124,00,7C,DependAuto,,,,,
125,00,7D,DependAsk,,,,,
127,00,7F,□,,,,,
128,00,80,﹢,,,,,
129,00,81,·,,,,,
130,00,82,*,,,,,
131,00,83,/,,,,,
132,00,84,Trace,,,,,
133,00,85,ClrDraw,,,,,
134,00,86,ZStandard,,,,,
135,00,87,ZTrig,,,,,
136,00,88,ZBox,,,,,
137,00,89,Zoom In,,,,,
138,00,8A,Zoom Out,,,,,
139,00,8B,ZSquare,,,,,
140,00,8C,ZInteger,,,,,
141,00,8D,ZPrevious,,,,,
142,00,8E,ZDecimal,,,,,
143,00,8F,ZoomStat,,,,,
